Upc,Price,Product Title,Store,Ebay Price, Ebay Product Link
3.33788E+12,48.71,Extrait De Cologne Tubereuse Hedonie Spray 100ml/3.3oz,71.25,https://www.ebay.com/itm/NEW-Roger-Gallet-Extrait-De-Cologne-Tubereuse-Hedonie-Spray-100ml-Perfume/292518275883?epid=19017805737&amp;hash=item441b72ab2b:g:37gAAOSwdGJazJC6,
8.02871E+12,89.09,Blu Mediterraneo Cedro Di Taormina Eau De Toilette Spray 75ml/2.5oz,131.35,https://www.ebay.com/itm/Acqua-Di-Parma-Blu-Mediterraneo-Cedro-Di-Taormina-EDT-Eau-De-Toilette-Spray-75ml/362001718194?epid=1582213052&amp;hash=item5448fbdbb2:g:sGAAAOSw4GFbLKTq,
8.02871E+12,89.09,Blu Mediterraneo Cedro Di Taormina Eau De Toilette Spray 75ml/2.5oz,131.35,https://www.ebay.com/itm/Acqua-Di-Parma-Blu-Mediterraneo-Cedro-Di-Taormina-EDT-Eau-De-Toilette-Spray-75ml/362001718194?epid=1582213052&amp;hash=item5448fbdbb2:g:sGAAAOSw4GFbLKTq,
5.06006E+12,163.04,Rose Plus Marine Collagen Complex 35ml/1.2oz,212.23,https://www.ebay.com/itm/The-Organic-Pharmacy-Rose-Plus-Marine-Collagen-Complex/182699415165?epid=2254703053&amp;hash=item2a89bbd67d:g:-AQAAOSw2WBZgnF-,
3.4142E+12,30.44,Cleansing Block Comforting Perfecting Toner 400ml/13.4oz,39.25,https://www.ebay.com/itm/Lancaster-Comforting-Perfecting-Toner-Rose-Nectar-Rose-Centifolia-400ml/361897356135?epid=1010342026&amp;hash=item5442c36b67:g:Js0AAOSwSw5bIP7k,
3.4142E+12,30.44,Cleansing Block Comforting Perfecting Toner 400ml/13.4oz,39.25,https://www.ebay.com/itm/Lancaster-Comforting-Perfecting-Toner-Rose-Nectar-Rose-Centifolia-400ml/361897356135?epid=1010342026&amp;hash=item5442c36b67:g:Js0AAOSwSw5bIP7k,
6.45952E+11,31.04,Life-Flo Progesta-Care Plus Cream For Women (1x4 Oz),66.5,https://www.ebay.com/itm/NEW-LIFE-FLO-HEALTH-PROGESTA-CARE-PLUS-BODY-CREAM-WOMEN-NATURAL-PROGESTERONE/131818837137?epid=1270397636&amp;hash=item1eb103d491:g:iXAAAOSw9VZXPH~O,
6.45952E+11,32.13,Life-Flo Progesta-Care Plus Cream For Women - 4 oz,66.5,https://www.ebay.com/itm/NEW-LIFE-FLO-HEALTH-PROGESTA-CARE-PLUS-BODY-CREAM-WOMEN-NATURAL-PROGESTERONE/131818837137?epid=1270397636&amp;hash=item1eb103d491:g:iXAAAOSw9VZXPH~O,
3.54973E+11,17.4,Hyland's Leg Cramps (1x100 TAB),29.73,https://www.ebay.com/itm/3-Pack-Hylands-Leg-Cramps-Quinine-Lower-Back-Legs-Homeopathic-300-Tablets/291587964271?hash=item43e3ff3d6f:g:4sUAAOSwUKxYlLFD,
3.54973E+11,17.93,Hyland's Leg Cramps - 100 Quick Disolving Tablets,29.73,https://www.ebay.com/itm/3-Pack-Hylands-Leg-Cramps-Quinine-Lower-Back-Legs-Homeopathic-300-Tablets/291587964271?hash=item43e3ff3d6f:g:4sUAAOSwUKxYlLFD,
3.54973E+11,16.31,Hyland's Homeopathic PM Leg Cramps (1x50 Tab),27.02,https://www.ebay.com/itm/Hylands-Leg-Cramps-PM-Tablets-50-ea-Pack-of-3/332332081790?hash=item4d6089227e:g:I3gAAOSwZs1ZhMRT,
3.54973E+11,16.81,Hyland's Leg Cramps PM - 50 Tablets,27.02,https://www.ebay.com/itm/Hylands-Leg-Cramps-PM-Tablets-50-ea-Pack-of-3/332332081790?hash=item4d6089227e:g:I3gAAOSwZs1ZhMRT,
47469048372,14.16,Natrol Melatonin 5 Mg Time Release (1x100 TAB),18.49,https://www.ebay.com/itm/Natrol-Melatonin-Time-Release-5mg-Tablets-100ct-2-Pack-Exp-Date-07-2020/151981968534?epid=2164327878&amp;hash=item2362d4cc96:g:AmwAAOSw1QpZ5lqe,
8.50146E+11,24.6,I Cool For Menopause 30 Tablets,47.95,https://www.ebay.com/itm/Lot-x-6-i-cool-for-Menopaouse-Omega-3-Hormone-Free-30-ct-EXP-11-17-FREE-SH-A2/273345447615?hash=item3fa4a886bf:g:JakAAOSwAFNbL-Jh,
47469161064,14.78,Natrol DHEA - 50 mg - 60 Tablets,25.95,https://www.ebay.com/itm/NATROL-DHEA-50-MG-3-PACK-60-TABLETS-enhance-mood-test-boost-testosterone/332600424869?epid=1800174584&amp;hash=item4d7087b9a5:g:OFIAAOSwJdNay9j-,
3.60598E+12,32.14,Ultra Facial Oil-Free Cleanser - For Normal to Oily Skin Types 150ml/5oz,50,https://www.ebay.com/itm/KIEHLS-ULTRA-FACIAL-OIL-FREE-CLEANSER-150ML-x-2/202090628715?epid=1810324011&amp;hash=item2f0d8a466b:g:~ioAAOSwB4BZ7rsW,
3.70019E+12,30.44,Ultimate Brushless Shave Cream - Blue Eagle 150ml/5oz,40.85,https://www.ebay.com/itm/NEW-Kiehls-Ultimate-Brushless-Shave-Cream-Blue-Eagle-150ml-Mens-Skin-Care/282811003192?epid=1010345597&amp;hash=item41d8d97138:g:Q0gAAOSwXsFaXX~d,
